industries,skills
Customer Service,Kênh MT
Customer Service,Hàng Tiêu Dùng
Customer Service,FMCG
Customer Service,Bán Hàng
Customer Service,Quản Lý Doanh Số
Sales,Kênh MT
Sales,Hàng Tiêu Dùng
Sales,FMCG
Sales,Bán Hàng
Sales,Quản Lý Doanh Số
Marketing,Marketing Materials Strategy
Marketing,Social Media Planning
Marketing,Content Production
Marketing,Advertising Management
Marketing,Content Creating
Accounting,Kế Toán Tổng Hợp
Accounting,Hạch Toán Chi Phí
Accounting,Doanh Thu Công Nợ
Accounting,Báo Cáo Tài Chính
Accounting,Giao Dịch Chứng Từ
Auditing,Kế Toán Tổng Hợp
Auditing,Hạch Toán Chi Phí
Auditing,Doanh Thu Công Nợ
Auditing,Báo Cáo Tài Chính
Auditing,Giao Dịch Chứng Từ
Finance/Investment,Kế Toán Tổng Hợp
Finance/Investment,Hạch Toán Chi Phí
Finance/Investment,Doanh Thu Công Nợ
Finance/Investment,Báo Cáo Tài Chính
Finance/Investment,Giao Dịch Chứng Từ
Marketing,English
Marketing,Trade Marketing
Marketing,Data Analysis
Marketing,Market Research
Marketing,Photography
Sales,Tìm Kiếm Khách Hàng
Sales,Chăm Sóc Khách Hàng
Sales,Tư Vấn Sản Phẩm
Sales,Tín Dụng Ngân Hàng
Sales,Tư Vấn Tài Chính
Finance/Investment,Tìm Kiếm Khách Hàng
Finance/Investment,Chăm Sóc Khách Hàng
Finance/Investment,Tư Vấn Sản Phẩm
Finance/Investment,Tín Dụng Ngân Hàng
Finance/Investment,Tư Vấn Tài Chính
Civil/Construction,Giám Sát Thi Công
Civil/Construction,Giám Sát Xây Dựng
Civil/Construction,Xây Dựng Dân Dụng
Civil/Construction,Lập Kế Hoạch Thi Công Dự Án
Civil/Construction,Triển Khai Thi Công Công Trình
Civil/Construction,Thiết Kế Nội Thất
Civil/Construction,Thiết Kế Kiến Trúc
Civil/Construction,Revit
Civil/Construction,Sketchup
Civil/Construction,AutoCAD
Civil/Construction,English
Civil/Construction,Schedule Management
Civil/Construction,Quality Control
Civil/Construction,M&E Design
Civil/Construction,Maintenance
Electrical/Electronics,English
Electrical/Electronics,Schedule Management
Electrical/Electronics,Quality Control
Electrical/Electronics,M&E Design
Electrical/Electronics,Maintenance
Sales,Quan Hệ Khách Hàng Cá Nhân
Sales,Tín Dụng
Sales,Quan Hệ Khách Hàng
Sales,Tín Dụng Cá Nhân
Sales,Ngân Hàng
Finance/Investment,Quan Hệ Khách Hàng Cá Nhân
Finance/Investment,Tín Dụng
Finance/Investment,Quan Hệ Khách Hàng
Finance/Investment,Tín Dụng Cá Nhân
Finance/Investment,Ngân Hàng
Sales,Phát Triển Kinh Doanh
Sales,Quảng Bá Thương Hiệu
Sales,Kinh Doanh Dự Án
Sales,Quản Trị Marketing
Sales,Mạng Lưới Khách Hàng
Marketing,Sale B2B
Marketing,Sales Strategy
Marketing,Market Analysis
Marketing,Forecast Development
Marketing,Business Development
Sales,Sale B2B
Sales,Sales Strategy
Sales,Market Analysis
Sales,Forecast Development
Sales,Business Development
Human Resources,Giáo Dục Đào Tạo
Human Resources,Quản Lý
Human Resources,Giáo Dục
Customer Service,Sales Development
Customer Service,Customer Care Mindset
Customer Service,Market Research
Customer Service,Tìm Kiếm Khách Hàng
Customer Service,MS Office
Sales,Sales Development
Sales,Customer Care Mindset
Sales,Market Research
Sales,Tìm Kiếm Khách Hàng
Sales,MS Office
Marketing,Japanese
Marketing,Business Development
Marketing,Quản Lý Bán Hàng
Marketing,Theo Dõi Tiến Độ
Marketing,Phân Tích Thị Trường
Sales,Japanese
Sales,Business Development
Sales,Quản Lý Bán Hàng
Sales,Theo Dõi Tiến Độ
Sales,Phân Tích Thị Trường
Human Resources,C&B
Human Resources,Working Management Skill
Human Resources,Negotiation Abilities
Human Resources,HR Management
Human Resources,Psychology
Accounting,Tiếng Anh
Accounting,Microsoft Office
Accounting,Tín Dụng Ngân Hàng
Accounting,Tài Chính Tín Dụng
Accounting,Quản Lý Dữ Liệu
Finance/Investment,Tiếng Anh
Finance/Investment,Microsoft Office
Finance/Investment,Tín Dụng Ngân Hàng
Finance/Investment,Tài Chính Tín Dụng
Finance/Investment,Quản Lý Dữ Liệu
Accounting,Audit
Accounting,Assurance
Accounting,Financial Statement
Accounting,Accounting
Accounting,Auditing Skill
Auditing,Audit
Auditing,Assurance
Auditing,Financial Statement
Auditing,Accounting
Auditing,Auditing Skill
Finance/Investment,Audit
Finance/Investment,Assurance
Finance/Investment,Financial Statement
Finance/Investment,Accounting
Finance/Investment,Auditing Skill
Sales,Tài Chính
Sales,Quản Trị Kinh Doanh
Sales,Tài Chính Kinh Tế
Sales,Bảo Hiểm
Sales,Tư Vấn Tài Chính
Finance/Investment,Tài Chính
Finance/Investment,Quản Trị Kinh Doanh
Finance/Investment,Tài Chính Kinh Tế
Finance/Investment,Bảo Hiểm
Finance/Investment,Tư Vấn Tài Chính
Administrative/Clerical,Bàn Giao Nhà Đất
Administrative/Clerical,Trợ Lý Hành Chính
Administrative/Clerical,Bất Động Sản
Administrative/Clerical,Thư Ký
Administrative/Clerical,Thư Ký Dự Án
Customer Service,Bàn Giao Nhà Đất
Customer Service,Trợ Lý Hành Chính
Customer Service,Bất Động Sản
Customer Service,Thư Ký
Customer Service,Thư Ký Dự Án
Marketing,Chemical Industry
Marketing,B2B Sales
Marketing,Manufacturing Procces
Marketing,Customer Service Knowledge
Marketing,Marketing Development
Sales,Chemical Industry
Sales,B2B Sales
Sales,Manufacturing Procces
Sales,Customer Service Knowledge
Sales,Marketing Development
Marketing,Kinh Doanh
Marketing,Tiếng Trung
Marketing,Tiếng Anh
Marketing,Tiếng Hàn
Marketing,Phát Triển Thị Trường
Sales,Kinh Doanh
Sales,Tiếng Trung
Sales,Tiếng Anh
Sales,Tiếng Hàn
Sales,Phát Triển Thị Trường
Accounting,Quyết Toán Thuế
Accounting,Lập Báo Cáo Thuế
Accounting,Hạch toán kế toán
Accounting,Lập Báo Cáo Tài Chính
Accounting,Quản Lý Hệ Thống Kế Toán
Auditing,Quyết Toán Thuế
Auditing,Lập Báo Cáo Thuế
Auditing,Hạch toán kế toán
Auditing,Lập Báo Cáo Tài Chính
Auditing,Quản Lý Hệ Thống Kế Toán
Finance/Investment,Quyết Toán Thuế
Finance/Investment,Lập Báo Cáo Thuế
Finance/Investment,Hạch toán kế toán
Finance/Investment,Lập Báo Cáo Tài Chính
Finance/Investment,Quản Lý Hệ Thống Kế Toán
Finance/Investment,Project Management
Finance/Investment,Quản Lý Dự Án
Finance/Investment,Tài Chính Ngân Hàng
Finance/Investment,Ngân Hàng
Finance/Investment,PMP Methodology
Customer Service,Insight Customer
Customer Service,Customer Experience Management
Customer Service,Business Statistics
Customer Service,Dịch Vụ Khách Hàng
Customer Service,Finance Forecast
Finance/Investment,Insight Customer
Finance/Investment,Customer Experience Management
Finance/Investment,Business Statistics
Finance/Investment,Dịch Vụ Khách Hàng
Finance/Investment,Finance Forecast
Finance/Investment,Bảo Hiểm
Finance/Investment,Chăm Sóc Khách Hàng
Finance/Investment,Bảo Hiểm Nhân Thọ
Finance/Investment,Tư Vấn Bán Hàng
Finance/Investment,Thủ Tục Bồi Thường
Marketing,Marketing Research
Marketing,Nghiên Cứu Thị Trường
Marketing,Equity Research Analysis
Marketing,Ngân Hàng
Marketing,Statistic Analytics
Customer Service,Management
Customer Service,Hotel
Customer Service,Service Client
Electrical/Electronics,Digital Design
Electrical/Electronics,RTL Verification
Sales,Kinh Doanh
Sales,Chăm Sóc Khách Hàng
Sales,Máy Xây Dựng
Sales,Sales Enginee
Sales,Ô Tô
Sales,Tìm Kiếm Khách Hàng
Sales,Sản Phẩm Dầu Khí
Sales,Mua Hàng Trong Nước
Sales,Thu Mua Kỹ Thuật
Sales,Lập Hồ Sơ Thầu
Sales,Bán Hàng Kỹ Thuật
Sales,Bán Hàng
Sales,Kinh Doanh
Sales,Sales Engineering Skill
Sales,Sales Technical
Civil/Construction,Quản Lý Chất Lượng Xây Dựng
Civil/Construction,Kỹ Thuật Xây Dựng
Civil/Construction,CAD
Civil/Construction,Làm Hồ Sơ Thanh Quyết Toán
Civil/Construction,Quản Lí Khối Lượng
Sales,Logistics
Sales,Supply Chain
Sales,Sale B2B
Sales,Sale Freight Forwarding
Sales,Business Development
Sales,Market Research
Sales,Sales Management
Sales,Technical Sale
Sales,Printing
Sales,Operation Management
Civil/Construction,AutoCAD
Civil/Construction,Quản Lý Chi Phí Dự Án
Civil/Construction,Giám Sát Thi Công
Civil/Construction,Theo Dõi Tiến Độ
Civil/Construction,Đào Tạo Nội Bộ
Marketing,Communication Marketing
Marketing,Content Creating
Marketing,Performance Tracking
Marketing,Campaign Planning
Marketing,Events
Administrative/Clerical,English Communications
Administrative/Clerical,English Skill
Customer Service,English Communications
Customer Service,English Skill
Human Resources,English Communications
Human Resources,English Skill
Marketing,Quảng Cáo
Marketing,Khai Thác Nguồn Hàng
Marketing,Quản Trị Kinh Doanh
Marketing,Bán Hàng
Marketing,Marketing Channel
Sales,Quảng Cáo
Sales,Khai Thác Nguồn Hàng
Sales,Quản Trị Kinh Doanh
Sales,Bán Hàng
Sales,Marketing Channel
Marketing,Xây Dựng Thương Hiệu
Marketing,Dịch Vụ Làm Đẹp
Marketing,Marketing Mỹ Phẩm
Marketing,Branding Marketing
Marketing,Marketing Planning
Sales,AutoCAD
Sales,Make Quotation
Sales,Contract Management
Sales,Stragegic Sourcing
Sales,Proposal Preparation
Electrical/Electronics,AutoCAD
Electrical/Electronics,Make Quotation
Electrical/Electronics,Contract Management
Electrical/Electronics,Stragegic Sourcing
Electrical/Electronics,Proposal Preparation
Human Resources,Communication Marketing
Human Resources,Content Marketing
Human Resources,Communication
Human Resources,Digital Marketing
Marketing,Communication Marketing
Marketing,Content Marketing
Marketing,Communication
Marketing,Digital Marketing
Marketing,Bán Hàng
Marketing,Tiếng Anh
Marketing,Chăm Sóc Khách Hàng
Marketing,Marketing Y Tế
Sales,Bán Hàng
Sales,Tiếng Anh
Sales,Chăm Sóc Khách Hàng
Sales,Marketing Y Tế
Finance/Investment,Thu Hồi Nợ
Finance/Investment,Thu Hồi Nợ Thẻ Tín Dụng
Finance/Investment,Thu Hồi Nợ Xấu
Finance/Investment,Thu Hồi Nợ Trực Tiếp
Finance/Investment,Vay Tín Chấp
Accounting,Quản Lý Dữ Liệu
Accounting,Tiếng Anh
Accounting,Tiếng Nhật
Accounting,Kaizen
Accounting,Tin Học Văn Phòng
Finance/Investment,Quản Lý Dữ Liệu
Finance/Investment,Tiếng Anh
Finance/Investment,Tiếng Nhật
Finance/Investment,Kaizen
Finance/Investment,Tin Học Văn Phòng
Accounting,FTP
Accounting,Phân Tích Tài Chính
Finance/Investment,FTP
Finance/Investment,Phân Tích Tài Chính
Finance/Investment,Community Development
Finance/Investment,Communication
Finance/Investment,Business Development
Finance/Investment,Project Management
Finance/Investment,Tài Chính Ngân Hàng
Administrative/Clerical,Computer Science
Administrative/Clerical,Engineering
Administrative/Clerical,Project Management
Administrative/Clerical,SAP PM
Administrative/Clerical,MS Project
Administrative/Clerical,Dịch Vụ Khách Hàng
Administrative/Clerical,Communication
Administrative/Clerical,Y Tế
Administrative/Clerical,Customer Relation
Administrative/Clerical,English
Customer Service,Dịch Vụ Khách Hàng
Customer Service,Communication
Customer Service,Y Tế
Customer Service,Customer Relation
Customer Service,English
Accounting,Analytical Skill
Accounting,ERP
Accounting,English
Accounting,Microsoft Office
Accounting,Product Costing
Accounting,English
Accounting,Accounting
Accounting,Kế Toán
Accounting,Fund Accounting
Accounting,Teamwork
Finance/Investment,English
Finance/Investment,Accounting
Finance/Investment,Kế Toán
Finance/Investment,Fund Accounting
Finance/Investment,Teamwork
Electrical/Electronics,Điện Tử
Electrical/Electronics,Electrical Engineering
Electrical/Electronics,Tự Động Hóa
Electrical/Electronics,Cơ Điện
Electrical/Electronics,Điện Công Nghiệp
Sales,Tìm Kiếm Khách Hàng
Sales,Kinh Doanh
Sales,Cho Thuê Tài Chính
Sales,Quan Hệ Khách Hàng
Sales,Tín Dụng
Finance/Investment,Tìm Kiếm Khách Hàng
Finance/Investment,Kinh Doanh
Finance/Investment,Cho Thuê Tài Chính
Finance/Investment,Quan Hệ Khách Hàng
Finance/Investment,Tín Dụng
Customer Service,Automotive Engineering
Customer Service,Technical Advisory
Customer Service,Cố Vấn Dịch Vụ Ô Tô
Customer Service,Hậu Mãi Khách Hàng
Sales,Model Making
Sales,Sales Consulting
Sales,Market Research
Sales,Data Analyst
Sales,Systematic Thinking
Finance/Investment,Model Making
Finance/Investment,Sales Consulting
Finance/Investment,Market Research
Finance/Investment,Data Analyst
Finance/Investment,Systematic Thinking
Civil/Construction,Thiết Kế Dự Án Công Trình
Civil/Construction,Kiến Trúc Dân Dụng
Civil/Construction,Công Trình Đô Thị
Civil/Construction,Phân Tích Kiến Trúc
Civil/Construction,Kiến Trúc Xây Dựng
Customer Service,Dịch Vụ
Customer Service,Vận Hành
Customer Service,Quản Lý
Customer Service,Marketing Đại Lý
Customer Service,Chăm Sóc Khách Hàng
Marketing,Dịch Vụ
Marketing,Vận Hành
Marketing,Quản Lý
Marketing,Marketing Đại Lý
Marketing,Chăm Sóc Khách Hàng
Accounting,Tài Chính Ngân Hàng
Accounting,Corporate Restructuring
Accounting,Financial Operations
Accounting,Ngân Hàng
Accounting,Restructuring
Finance/Investment,Tài Chính Ngân Hàng
Finance/Investment,Corporate Restructuring
Finance/Investment,Financial Operations
Finance/Investment,Ngân Hàng
Finance/Investment,Restructuring
Marketing,Mass Communication
Marketing,Truyền Thông
Marketing,Truyền Thông Đại Chúng
Marketing,Public Relation
Marketing,Event Marketing
Marketing,Data Analyst
Marketing,Data Analysis
Marketing,Phân Tích Dữ Liệu
Marketing,Analytical Skill
Marketing,Phân Tích
Finance/Investment,Data Analyst
Finance/Investment,Data Analysis
Finance/Investment,Phân Tích Dữ Liệu
Finance/Investment,Analytical Skill
Finance/Investment,Phân Tích
Sales,Kinh Doanh
Sales,Logistics
Sales,Forwarding
Sales,Tiếng Anh
Sales,Sales Logistics
Sales,Active Sale
Sales,Management Thinking
Sales,Selling
Sales,Sales Logistics
Sales,Pricing
Customer Service,Insurance
Customer Service,English
Customer Service,Risk Assessment
Customer Service,Insurance Underwriting
Customer Service,Insurance Law
Finance/Investment,Insurance
Finance/Investment,English
Finance/Investment,Risk Assessment
Finance/Investment,Insurance Underwriting
Finance/Investment,Insurance Law
Auditing,Tài Chính
Auditing,Tài Chính Tập Đoàn
Auditing,Tài Chính Ngân Hàng
Auditing,Phân Tích Tài Chính
Auditing,Kiểm Soát Tài Chính
Finance/Investment,Tài Chính
Finance/Investment,Tài Chính Tập Đoàn
Finance/Investment,Tài Chính Ngân Hàng
Finance/Investment,Phân Tích Tài Chính
Finance/Investment,Kiểm Soát Tài Chính
Sales,Sales Kỹ Thuật
Sales,Service Sales
Sales,Bán Hàng Kỹ Thuật
Sales,Bán Hàng
Sales,Sales Direct
Electrical/Electronics,Sales Kỹ Thuật
Electrical/Electronics,Service Sales
Electrical/Electronics,Bán Hàng Kỹ Thuật
Electrical/Electronics,Bán Hàng
Electrical/Electronics,Sales Direct
Customer Service,Tư Vấn Tài Chính
Customer Service,Giao Dịch Ngân Hàng
Customer Service,Giới Thiệu Sản Phẩm
Customer Service,VIP Services
Customer Service,Dịch Vụ Khách Hàng
Finance/Investment,Tư Vấn Tài Chính
Finance/Investment,Giao Dịch Ngân Hàng
Finance/Investment,Giới Thiệu Sản Phẩm
Finance/Investment,VIP Services
Finance/Investment,Dịch Vụ Khách Hàng
Sales,Technical Sales
Sales,Sales Home Appliances
Sales,Kinh Doanh
Sales,Bán Hàng
Sales,AC Điện Lạnh
Sales,Sales Engineering Skill
Sales,Bán Hàng
Sales,Kinh Doanh
Sales,Ngành Điện Lạnh
Sales,Thiết Bị Nhiệt Lạnh
Auditing,Quản Trị Tài Chính
Auditing,Quản Trị Nguồn Vốn
Auditing,Đầu Tư Tài Chính
Auditing,Phân Tích Tài Chính
Auditing,Quản Lý Kế Hoạch Tài Chính
Finance/Investment,Quản Trị Tài Chính
Finance/Investment,Quản Trị Nguồn Vốn
Finance/Investment,Đầu Tư Tài Chính
Finance/Investment,Phân Tích Tài Chính
Finance/Investment,Quản Lý Kế Hoạch Tài Chính
Sales,Telesale Skill
Sales,Tìm Kiếm Khách Hàng
Sales,Tư Vấn Báo Giá
Sales,Chăm Sóc Khách Hàng
Sales,Bán Hàng Nội Thất
Marketing,Product Marketing
Marketing,Brand Marketing
Marketing,Marketing Execution
Marketing,Branding Marketer
Marketing,Marketing Planning
Customer Service,Chăm Sóc Khách Hàng
Customer Service,Tư Vấn Khách Hàng
Customer Service,Dịch Vụ Chất Lượng
Customer Service,Giao Tiếp Khách Hàng
Customer Service,Call Center Service
Finance/Investment,Chăm Sóc Khách Hàng
Finance/Investment,Tư Vấn Khách Hàng
Finance/Investment,Dịch Vụ Chất Lượng
Finance/Investment,Giao Tiếp Khách Hàng
Finance/Investment,Call Center Service
Sales,Hoạch Định Chiến Lược
Sales,Bán Hàng
Sales,Lập Kế Hoạch Kinh Doanh
Sales,Đào Tạo Nhân Viên Mới
Sales,Tiếng Anh
Administrative/Clerical,English
Administrative/Clerical,Human Resources Management
Administrative/Clerical,Payroll Management
Administrative/Clerical,Leadership
Administrative/Clerical,Policy Development
Human Resources,English
Human Resources,Human Resources Management
Human Resources,Payroll Management
Human Resources,Leadership
Human Resources,Policy Development
Auditing,Financial Analysis
Auditing,Investment Research
Auditing,Financial Services
Auditing,Investment Valuation
Auditing,Analytical Skill
Finance/Investment,Financial Analysis
Finance/Investment,Investment Research
Finance/Investment,Financial Services
Finance/Investment,Investment Valuation
Finance/Investment,Analytical Skill
Auditing,IELTS Certificate
Auditing,IFRS
Auditing,Basel
Auditing,Tín Dụng
Auditing,Toán Tin Học
Finance/Investment,IELTS Certificate
Finance/Investment,IFRS
Finance/Investment,Basel
Finance/Investment,Tín Dụng
Finance/Investment,Toán Tin Học
Administrative/Clerical,Thư Ký Ban Dự Án
